Time,inertial-6253.76535:estCompensatedAccelX,inertial-6253.76535:estCompensatedAccelX:valid,inertial-6253.76535:estCompensatedAccelY,inertial-6253.76535:estCompensatedAccelY:valid,inertial-6253.76535:estCompensatedAccelZ,inertial-6253.76535:estCompensatedAccelZ:valid,inertial-6253.76535:estAngularRateX,inertial-6253.76535:estAngularRateX:valid,inertial-6253.76535:estAngularRateY,inertial-6253.76535:estAngularRateY:valid,inertial-6253.76535:estAngularRateZ,inertial-6253.76535:estAngularRateZ:valid,inertial-6253.76535:estRoll,inertial-6253.76535:estRoll:valid,inertial-6253.76535:estPitch,inertial-6253.76535:estPitch:valid,inertial-6253.76535:estYaw,inertial-6253.76535:estYaw:valid,inertial-6253.76535:estLinearAccelX,inertial-6253.76535:estLinearAccelX:valid,inertial-6253.76535:estLinearAccelY,inertial-6253.76535:estLinearAccelY:valid,inertial-6253.76535:estLinearAccelZ,inertial-6253.76535:estLinearAccelZ:valid
0.332000256,-4.259209156,1,-3.854820251,1,-7.898635864,1,-0.008432142,1,-0.021708434,1,0.025434714,1,0.457513452,1,-0.446825832,1,0.315105796,1,-0.033149242,1,0.041130304,1,0.014242649,1
0.336001784,-4.278578758,1,-3.811386347,1,-7.940927029,1,-0.008727131,1,-0.029087786,1,0.034607682,1,0.457444996,1,-0.446971893,1,0.315171838,1,-0.051230907,1,0.083749533,1,-0.028336048,1
0.339999229,-4.439775467,1,-3.823991776,1,-7.989521503,1,-0.010311903,1,-0.030256156,1,0.027161971,1,0.457385957,1,-0.447136402,1,0.31523329,1,-0.210976601,1,0.070369482,1,-0.077324867,1
0.343998462,-4.362426281,1,-3.952779055,1,-7.750701904,1,-0.013480536,1,-0.036987968,1,0.025725804,1,0.45732522,1,-0.447312355,1,0.315264106,1,-0.132075787,1,-0.05922699,1,0.161062717,1
0.347999752,-4.407232761,1,-3.85753727,1,-7.906549454,1,-0.012717443,1,-0.033381015,1,0.024180215,1,0.457257688,1,-0.447477609,1,0.315291286,1,-0.175425529,1,0.035172224,1,0.004851818,1
0.351996928,-4.371934891,1,-3.856636763,1,-7.960181236,1,-0.008647779,1,-0.028934352,1,0.023917226,1,0.457203507,1,-0.447633326,1,0.315324545,1,-0.138754368,1,0.035352945,1,-0.04916048,1
0.355996668,-4.376284599,1,-3.811545372,1,-7.919350147,1,-0.010323342,1,-0.026890537,1,0.025966905,1,0.457146168,1,-0.447775155,1,0.315360963,1,-0.141853809,1,0.079725504,1,-0.008645535,1
0.359998465,-4.376195908,1,-3.819521427,1,-7.969295979,1,-0.009664368,1,-0.023167077,1,0.027039103,1,0.457092196,1,-0.447924405,1,0.3154158,1,-0.140449047,1,0.071043491,1,-0.058948517,1
0.363996416,-4.328455925,1,-3.793408871,1,-7.911139011,1,-0.00645161,1,-0.025305599,1,0.023640933,1,0.457035571,1,-0.448055267,1,0.315460682,1,-0.091556072,1,0.096463442,1,-0.001069069,1
0.367996424,-4.409592152,1,-3.814781904,1,-7.938344479,1,-0.00832053,1,-0.026772691,1,0.028170697,1,0.456980109,1,-0.448200077,1,0.315518945,1,-0.171415329,1,0.074380398,1,-0.028610229,1
